algorithm,minrun,dataset_type,n,run_id,time_ms,comparisons,moves
TimSort,128,nearly_sorted,10000,4,22.0445,414999,461805
MergeSort,NA,nearly_sorted,50000,0,18.8756,672920,784464
TimSort,16,nearly_sorted,50000,0,1112.59,31062167,66572256
TimSort,32,nearly_sorted,50000,0,611.962,21519808,33020477
TimSort,64,nearly_sorted,50000,0,386.574,14612362,19735471
TimSort,128,nearly_sorted,50000,0,219.159,8674250,10093258
MergeSort,NA,nearly_sorted,50000,1,16.0082,676537,784464
TimSort,16,nearly_sorted,50000,1,1119.14,31516627,68133036
TimSort,32,nearly_sorted,50000,1,667.565,22397493,36275061
TimSort,64,nearly_sorted,50000,1,253.647,8867645,12231464
TimSort,128,nearly_sorted,50000,1,196.298,8684194,10098339
MergeSort,NA,nearly_sorted,50000,2,22.2973,672932,784464
TimSort,16,nearly_sorted,50000,2,1134.92,32172064,68469347
TimSort,32,nearly_sorted,50000,2,743.767,23310511,38315695
TimSort,64,nearly_sorted,50000,2,398.81,14961872,19733780
TimSort,128,nearly_sorted,50000,2,208.924,8687874,10096334
MergeSort,NA,nearly_sorted,50000,3,17.008,672297,784464
TimSort,16,nearly_sorted,50000,3,1199.28,32338806,68874490
TimSort,32,nearly_sorted,50000,3,692.173,23123762,38610741
TimSort,64,nearly_sorted,50000,3,406.519,14815298,19646813
TimSort,128,nearly_sorted,50000,3,216.052,8747598,10096179
MergeSort,NA,nearly_sorted,50000,4,16.4293,672434,784464
TimSort,16,nearly_sorted,50000,4,1183.68,31602082,69200056
TimSort,32,nearly_sorted,50000,4,699.973,22203062,34905747
TimSort,64,nearly_sorted,50000,4,391.453,14721538,19736703
TimSort,128,nearly_sorted,50000,4,232.726,8664030,10101247
MergeSort,NA,nearly_sorted,100000,0,40.9312,1444529,1668928
TimSort,16,nearly_sorted,100000,0,4311.83,123301415,272426864
TimSort,32,nearly_sorted,100000,0,2779.08,89546006,153534514
TimSort,64,nearly_sorted,100000,0,1537.98,57972730,78509178
TimSort,128,nearly_sorted,100000,0,823.329,33951942,39761422
MergeSort,NA,nearly_sorted,100000,1,34.3642,1444469,1668928
